primary_genre,hhi,developer_or_publisher_count,game_count
Violent,1.0,1,2
Sports,0.10059171597633138,11,13
Massively Multiplayer,0.044921875,25,32
Racing,0.023293563834104365,75,111
Free to Play,0.011718045790517398,99,129
RPG,0.002542207157290919,758,1334
Strategy,0.0022095399077073155,595,667
Simulation,0.0019001707210183085,916,1564
Indie,0.0006066098560385113,2716,4299
Adventure,0.0005531001213981503,8267,22864
Casual,0.00045262296384329914,7787,18229
Action,0.00019137743490278399,16546,37452
